Gap,Pattern,Size,Time(ms),Comparisons,Swaps,ArrayAccesses
Shell,RANDOM,1000,2,15392,7884,54680
Shell,RANDOM,5000,6,113540,61112,398202
Shell,RANDOM,10000,2,268249,153427,929935
Shell,RANDOM,20000,2,612400,362347,2107157
Shell,RANDOM,50000,6,1873524,1198969,6346029
Shell,SORTED,1000,0,8006,0,32024
Shell,SORTED,5000,0,55005,0,220020
Shell,SORTED,10000,0,120005,0,480020
Shell,SORTED,20000,1,260005,0,1040020
Shell,SORTED,50000,3,700006,0,2800024
Shell,REVERSED,1000,0,11716,4700,44144
Shell,REVERSED,5000,0,78798,28780,296386
Shell,REVERSED,10000,0,172578,62560,647726
Shell,REVERSED,20000,2,375138,135120,1405406
Shell,REVERSED,50000,4,1047305,397280,3891902
Shell,NEARLY_SORTED,1000,0,8007,1,32027
Shell,NEARLY_SORTED,5000,1,55006,1,220023
Shell,NEARLY_SORTED,10000,0,120006,1,480023
Shell,NEARLY_SORTED,20000,1,260006,1,1040023
Shell,NEARLY_SORTED,50000,3,700007,1,2800027
Knuth,RANDOM,1000,0,13341,8327,45923
Knuth,RANDOM,5000,2,103031,70052,346282
Knuth,RANDOM,10000,3,250692,179806,831676
Knuth,RANDOM,20000,2,556968,401397,1845819
Knuth,RANDOM,50000,6,1606389,1173363,5297579
Knuth,SORTED,1000,0,5457,0,21828
Knuth,SORTED,5000,0,35084,0,140336
Knuth,SORTED,10000,0,75243,0,300972
Knuth,SORTED,20000,1,165243,0,660972
Knuth,SORTED,50000,2,455719,0,1822876
Knuth,REVERSED,1000,0,8550,3920,31934
Knuth,REVERSED,5000,0,51491,19212,192362
Knuth,REVERSED,10000,1,120190,53704,444570
Knuth,REVERSED,20000,1,261067,113812,966432
Knuth,REVERSED,50000,2,689218,270768,2560642
Knuth,NEARLY_SORTED,1000,0,5458,1,21831
Knuth,NEARLY_SORTED,5000,0,35085,1,140339
Knuth,NEARLY_SORTED,10000,0,75244,1,300975
Knuth,NEARLY_SORTED,20000,1,165244,1,660975
Knuth,NEARLY_SORTED,50000,3,455720,1,1822879
Sedgewick,RANDOM,1000,1,13268,7606,46506
Sedgewick,RANDOM,5000,1,88949,49362,311492
Sedgewick,RANDOM,10000,2,196224,107921,686743
Sedgewick,RANDOM,20000,2,433594,236755,1518315
Sedgewick,RANDOM,50000,5,1210474,654224,4236966
Sedgewick,SORTED,1000,0,6182,0,24728
Sedgewick,SORTED,5000,0,42116,0,168464
Sedgewick,SORTED,10000,0,93187,0,372748
Sedgewick,SORTED,20000,1,207186,0,828744
Sedgewick,SORTED,50000,3,580897,0,2323588
Sedgewick,REVERSED,1000,0,9046,3508,33964
Sedgewick,REVERSED,5000,0,58224,18406,219086
Sedgewick,REVERSED,10000,1,130764,43130,491032
Sedgewick,REVERSED,20000,1,289238,91888,1084736
Sedgewick,REVERSED,50000,3,793150,235398,2983492
Sedgewick,NEARLY_SORTED,1000,0,6183,1,24731
Sedgewick,NEARLY_SORTED,5000,0,42117,1,168467
Sedgewick,NEARLY_SORTED,10000,1,93188,1,372751
Sedgewick,NEARLY_SORTED,20000,1,207187,1,828747
Sedgewick,NEARLY_SORTED,50000,3,580898,1,2323591
